book_id	title
0030059380	Fundamentals of Analytical Chemistry
0030303370	Essentials of Chemistry
0030615372	The Mbuti Pygmies
0060287659	The Stones Are Hatching
0060393645	Healthy Life Kitchen
0060930497	Finding Darwin God: Scientists Search For Common Ground
0060959290	Among the Russians
0070121430	Introduction to Algorithms
0070349096	Distillation Design
0070498415	Perrys Chemical Engineers Handbook
0070571864	Chemical Technicians Ready Reference Handbook
0071354190	Science at the Extreme: Scientists on the Cutting Edge of Discovery
0072127317	PHP 4 Developers Guide
0072127481	Hacking Exposed: Network Security Secrets And Solutions
0078823927	Teach yourself C++
0078823978	The complete reference HTML
0120594757	Practical Process Research and Development
0120848104	Costa Rica: The Ecotraveller Wildlife Guide
0125535600	Theory and Applications of Numerical Analysis
0130264857	Algebra 1
0130273635	Thinking in Java
0130819735	Essentials of Management
0134897250	Object Oriented Software Engineering: Conquering Complex and Changing Systems
0136603904	Assembly Language for Intel-Based Computers
0137566107	IBM PC Assembly Language and Programming, Fourth Edition
0138613370	A First Course in Database Systems
0151004714	The Last Life
0156007088	Walking with the Wind
0156007754	Blindness
0198503652	The Meme Machine
0201379260	The C++ Standard Library: A Tutorial and Reference
0201612585	Oracle 8 Programming: A Primer
0201615622	Exceptional C++: 47 Engineering Puzzles, Programming Problems
0201615711	Network Programming with Perl
0201634422	An Engineering Approach to Computer Networks
0201700735	The C++ Programming Language, Special Edition
0201709287	Foundation for Future Database Systems: The Third Manifesto
0256228779	Marketing: Creating Value for Customers
0262041642	Robot Shaping: An Experiment in Behavior Engineering
0262133822	Robo Sapiens: Evolution of a New Species
0262181916	Advice for a Young Investigator
0312135033	Great Catherine
0312965095	This Time for Keeps
0314129499	American Government
0316154075	A Darkness More than Night
0316695262	Right as Rain
0316769487	Catcher in the Rye
0345298063	Peter the Great: His Life and World
0345313860	The Vampire Lestat
0345337662	Interview With The Vampire
0345350499	The Mists Of Avalon
0345370775	Jurassic Park
0345377648	Lasher
0345384466	The Witching Hour
0345417623	Timeline
0345419758	Air Force One Has Landed
0345438310	Nicholas and Alexandra
0374141231	The Second Creation: Dolly and the Age of Biological Control
0375400818	Reading Lyrics
0375502025	The Greatest Generation
0375810609	Bonjour Babar
0385326653	Kits Wilderness
0385479565	The Hot Zone
0387987010	Rare Earth: Why Complex Life is Uncommon in the Universe
0393314251	The Mismeasure of Man
0393316009	Ship Fever
0395851580	George And Martha: The Complete Stories Of Two Best Friends
0399146652	The Cat Who Smelled a Rat
0399147020	Blood Lure
0399501487	Lord of the Flies
0425133540	The Sum of All Fears
0425143325	Without Remorse
0425147584	Debt Of Honor
0439064864	Harry Potter And The Chambers Of Secrets
0439139597	Harry Potter And The Goblet Of Fire
0439136350	Harry Potter And The Prisoner Of Azkaban
